SA2_code,SA2_name
206071139,Abbotsford
210011226,Airport West
206051128,Albert Park
204011054,Alexandra
201011001,Alfredton
206021110,Alphington - Fairfield
205021080,Alps - East
205051099,Alps - West
213021341,Altona
213021342,Altona Meadows
213021343,Altona North
215011386,Ararat
215011387,Ararat Region
213011328,Ardeer - Albion
206061135,Armadale
206031113,Ascot Vale
207011146,Ashburton (Vic.)
212051319,Ashwood - Chadstone
208031183,Aspendale Gardens - Waterways
201031013,Avoca
213041353,Bacchus Marsh
201021009,Bacchus Marsh Region
205021081,Bairnsdale
201011002,Ballarat
201011003,Ballarat - North
201011004,Ballarat - South
207011147,Balwyn
207011148,Balwyn North
203011034,Bannockburn
211011251,Bayswater
211031263,Bayswater North
212011287,Beaconsfield - Officer
201031014,Beaufort
208011168,Beaumaris
204031068,Beechworth
211051274,Belgrave - Selby
203021037,Belmont
204021063,Benalla
204021064,Benalla Region
202011018,Bendigo
202031032,Bendigo Region - North
202021026,Bendigo Region - South
208021174,Bentleigh - McKinnon
208021426,Bentleigh East (North)
208021427,Bentleigh East (South)
212021293,Berwick - North
212021294,Berwick - South
207031161,Blackburn
207031162,Blackburn South
211011446,Boronia
207031163,Box Hill
207031164,Box Hill North
208031184,Braeside
213031347,Braybrook
204031069,Bright - Mount Beauty
208011169,Brighton (Vic.)
208011170,Brighton East
210051242,Broadmeadows
206011105,Brunswick
206011106,Brunswick East
206011107,Brunswick West
205021082,Bruthen - Omeo
207021156,Bulleen
215031400,Buloke
209011196,Bundoora - East
209041216,Bundoora - North
209041217,Bundoora - West
201011005,Buninyong
212011288,Bunyip - Garfield
213041461,Burnside
213041462,Burnside Heights
207031165,Burwood
207031166,Burwood East
213011329,Cairnlea
202011019,California Gully - Eaglehawk
207011149,Camberwell
210051243,Campbellfield - Coolaroo
217031471,Camperdown
206041117,Carlton
206071140,Carlton North - Princes Hill
208021176,Carnegie
213041463,Caroline Springs
208031185,Carrum - Patterson Lakes
214011370,Carrum Downs
202021027,Castlemaine
202021028,Castlemaine Region
208021177,Caulfield - North
208021178,Caulfield - South
208031186,Chelsea - Bonbeach
208031187,Chelsea Heights
208031188,Cheltenham - Highett (East)
208011171,Cheltenham - Highett (West)
204031070,Chiltern - Indigo Valley
211051275,Chirnside Park
205041094,Churchill
212041309,Clarinda - Oakleigh South
212051320,Clayton
212041310,Clayton South
203031048,Clifton Springs
216021411,Cobram
206011108,Coburg
210031236,Coburg North
217031472,Colac
217031473,Colac Region
206071141,Collingwood
217031474,Corangamite - North
217031475,Corangamite - South
203021038,Corio - Norlane
210051441,Craigieburn - Central
210051442,Craigieburn - North
210051443,Craigieburn - South
210051444,Craigieburn - West
212031300,Cranbourne
212031301,Cranbourne East
212031302,Cranbourne North
212031303,Cranbourne South
212031304,Cranbourne West
201021010,Creswick - Clunes
211031450,Croydon - East
211031451,Croydon - West
211031265,Croydon Hills - Warranwood
211031452,Croydon South
212041311,Dandenong
212041312,Dandenong North
201021011,Daylesford
213011330,Deer Park - Derrimut
201011006,Delacombe
213011331,Delahey
212041313,Dingley Village
206041118,Docklands
207021157,Doncaster
207021424,Doncaster East (North)
207021425,Doncaster East (South)
211021261,Donvale - Park Orchards
209041430,Doreen
212021295,Doveton
214021377,Dromana
205011076,Drouin
202011020,East Bendigo - Kennington
206041119,East Melbourne
216011406,Echuca
208031189,Edithvale - Aspendale
208021179,Elsternwick
209031209,Eltham
206051129,Elwood
212011289,Emerald - Cockatoo
212021453,Endeavour Hills - North
212021454,Endeavour Hills - South
209041431,Epping - East
209041432,Epping - South
209041433,Epping - West
206031114,Essendon - Aberfeldie
210011227,Essendon Airport
204011055,Euroa
210031237,Fawkner
